seq,TABLE_NAME,TABLE_COMMENTS,COLUMN_ID,COLUMN_NAME,COLUMN_COMMENTS,DATA_TYPE,IDX,COL_TOT,PK_COL,POSITION,,PK
1336,_TACAsstAccSet,자산 회계처리 유형 설정,1,CompanySeq,법인내부코드,int(10),1,16,CompanySeq,1,,1
1337,_TACAsstAccSet,자산 회계처리 유형 설정,2,AsstAccTypeSeq,자산회계처리유형코드,int(10),2,16,AsstAccTypeSeq,2,,1
1338,_TACAsstAccSet,자산 회계처리 유형 설정,3,AsstAccTypeName,자산회계처리유형명,nvarchar(100),3,16,,,,
1339,_TACAsstAccSet,자산 회계처리 유형 설정,4,GainAccSeq,취득계정,int(10),4,16,,,,
1340,_TACAsstAccSet,자산 회계처리 유형 설정,5,AccumDepreAccSeq,상각누계액계정,int(10),5,16,,,,
1341,_TACAsstAccSet,자산 회계처리 유형 설정,6,ImpairAccSeq,손상차손계정,int(10),6,16,,,,
1342,_TACAsstAccSet,자산 회계처리 유형 설정,7,AccumImpairAccSeq,손상차손누계액계정,int(10),7,16,,,,
1343,_TACAsstAccSet,자산 회계처리 유형 설정,8,ImpairRvrsAccSeq,손상차손환입계정,int(10),8,16,,,,
1344,_TACAsstAccSet,자산 회계처리 유형 설정,9,SMAsstValMethod,자산평가방법,int(10),9,16,,,,
1345,_TACAsstAccSet,자산 회계처리 유형 설정,10,SMRevalAccMethod,재평가회계처리방법,int(10),10,16,,,,
1346,_TACAsstAccSet,자산 회계처리 유형 설정,11,RevalSurplusAccSeq,재평가잉여금계정,int(10),11,16,,,,
1347,_TACAsstAccSet,자산 회계처리 유형 설정,12,RevalGainAccSeq,재평가이익계정,int(10),12,16,,,,
1348,_TACAsstAccSet,자산 회계처리 유형 설정,13,RevalLossAccSeq,재평가손실계정,int(10),13,16,,,,
1349,_TACAsstAccSet,자산 회계처리 유형 설정,14,Remark,비고,nvarchar(500),14,16,,,,
1350,_TACAsstAccSet,자산 회계처리 유형 설정,15,LastUserSeq,작업자,int(10),15,16,,,,
1351,_TACAsstAccSet,자산 회계처리 유형 설정,16,LastDateTime,작업일,datetime(8),16,16,,,,
362,_TACAsstDefault,자산분류별기본값 등록,1,CompanySeq,법인내부코드,int(10),1,14,CompanySeq,1,,1
363,_TACAsstDefault,자산분류별기본값 등록,2,AsstTypeSeq,자산분류코드,int(10),2,14,AsstTypeSeq,2,,1
364,_TACAsstDefault,자산분류별기본값 등록,3,AsstTypeName,자산분류,nvarchar(100),3,14,,,,
365,_TACAsstDefault,자산분류별기본값 등록,4,AsstAccTypeSeq,자산회계처리유형,int(10),4,14,,,,
366,_TACAsstDefault,자산분류별기본값 등록,5,BizUnit,사업부문,int(10),5,14,,,,
367,_TACAsstDefault,자산분류별기본값 등록,6,SMDepreMethod,상각방법,int(10),6,14,,,,
368,_TACAsstDefault,자산분류별기본값 등록,7,DepreAccSeq,상각계정코드,int(10),7,14,,,,
369,_TACAsstDefault,자산분류별기본값 등록,8,UseYear,내용년수,int(10),8,14,,,,
370,_TACAsstDefault,자산분류별기본값 등록,9,MngDeptSeq,관리부서,int(10),9,14,,,,
371,_TACAsstDefault,자산분류별기본값 등록,10,ManagerEmpSeq,관리자코드,int(10),10,14,,,,
372,_TACAsstDefault,자산분류별기본값 등록,11,Remark,비고,nvarchar(200),11,14,,,,
373,_TACAsstDefault,자산분류별기본값 등록,12,LastUserSeq,작업자,int(10),12,14,,,,
374,_TACAsstDefault,자산분류별기본값 등록,13,LastDateTime,작업일시,datetime(8),13,14,,,,
375,_TACAsstDefault,자산분류별기본값 등록,14,UMCostType,비용구분,int(10),14,14,,,,
1256,_TACAsstDepreDept,고정자산상각내역부서배분,1,CompanySeq,법인내부코드,int(10),1,20,,,,
1257,_TACAsstDepreDept,고정자산상각내역부서배분,2,SMAccStd,회계기준구분,int(10),2,20,,,,
1258,_TACAsstDepreDept,고정자산상각내역부서배분,3,AsstSeq,고정자산코드,int(10),3,20,,,,
1259,_TACAsstDepreDept,고정자산상각내역부서배분,4,AsstChgSerl,자본적지출순번,int(10),4,20,,,,
1260,_TACAsstDepreDept,고정자산상각내역부서배분,5,SMGainType,취득/자본적지출구분,int(10),5,20,,,,
1261,_TACAsstDepreDept,고정자산상각내역부서배분,6,DepreDate,상각일자(말일),nchar(8),6,20,,,,
1262,_TACAsstDepreDept,고정자산상각내역부서배분,7,DeptSerl,사용부서일련번호,int(10),7,20,,,,
1263,_TACAsstDepreDept,고정자산상각내역부서배분,8,SMDepreKind,상각구분,int(10),8,20,,,,
1264,_TACAsstDepreDept,고정자산상각내역부서배분,9,SMIncOrDec,증가감소구분,int(10),9,20,,,,
1265,_TACAsstDepreDept,고정자산상각내역부서배분,10,DeptSeq,사용부서코드,int(10),10,20,,,,
1266,_TACAsstDepreDept,고정자산상각내역부서배분,11,CCtrSeq,활동센터,int(10),11,20,,,,
1267,_TACAsstDepreDept,고정자산상각내역부서배분,12,DepreAccSeq,상각비 계정,int(10),12,20,,,,
1268,_TACAsstDepreDept,고정자산상각내역부서배분,13,AccumDepreAccSeq,상각누계액 계정,int(10),13,20,,,,
1269,_TACAsstDepreDept,고정자산상각내역부서배분,14,UMCostType,비용구분,int(10),14,20,,,,
1270,_TACAsstDepreDept,고정자산상각내역부서배분,15,AccumImpairAccSeq,손상누계액 계정,int(10),15,20,,,,
1271,_TACAsstDepreDept,고정자산상각내역부서배분,16,DepreSubAmt,상각금액,decimal(19),16,20,,,,
1272,_TACAsstDepreDept,고정자산상각내역부서배분,17,Remark,비고,nvarchar(500),17,20,,,,
1273,_TACAsstDepreDept,고정자산상각내역부서배분,18,SlipSeq,전표내부코드,int(10),18,20,,,,
1274,_TACAsstDepreDept,고정자산상각내역부서배분,19,LastUserSeq,작업자,int(10),19,20,,,,
1275,_TACAsstDepreDept,고정자산상각내역부서배분,20,LastDateTime,작업일,datetime(8),20,20,,,,
1276,_TACAsstDepreStdHist,고정자산상각정보(IFRS),1,CompanySeq,법인내부코드,int(10),1,18,CompanySeq,1,,1
1277,_TACAsstDepreStdHist,고정자산상각정보(IFRS),2,AsstSeq,고정자산코드,int(10),2,18,AsstSeq,2,,1
1278,_TACAsstDepreStdHist,고정자산상각정보(IFRS),3,HistSerl,순번,int(10),3,18,HistSerl,3,,1
1279,_TACAsstDepreStdHist,고정자산상각정보(IFRS),4,EffectiveYM,적용시작연월,nchar(6),4,18,,,,
1280,_TACAsstDepreStdHist,고정자산상각정보(IFRS),5,SMDepreMethod,상각방법,int(10),5,18,,,,
1281,_TACAsstDepreStdHist,고정자산상각정보(IFRS),6,UseYear,내용연수,int(10),6,18,,,,
1282,_TACAsstDepreStdHist,고정자산상각정보(IFRS),7,DepreRate,상각률,decimal(19),7,18,,,,
1283,_TACAsstDepreStdHist,고정자산상각정보(IFRS),8,SrtDepreYM,상각시작연월,nchar(6),8,18,,,,
1284,_TACAsstDepreStdHist,고정자산상각정보(IFRS),9,EndDepreYM,상각완료연월,nchar(6),9,18,,,,
1285,_TACAsstDepreStdHist,고정자산상각정보(IFRS),10,RemainAmt,잔존가액,decimal(19),10,18,,,,
1286,_TACAsstDepreStdHist,고정자산상각정보(IFRS),11,IsRemAmtCheck,잔액기준상각,nchar(1),11,18,,,,
1287,_TACAsstDepreStdHist,고정자산상각정보(IFRS),12,IsCoAsst,공동자산여부,nchar(1),12,18,,,,
1288,_TACAsstDepreStdHist,고정자산상각정보(IFRS),13,CGUnit,현금창출단위,int(10),13,18,,,,
1289,_TACAsstDepreStdHist,고정자산상각정보(IFRS),14,IsEvalFairVal,공정가치평가가능여부,nchar(1),14,18,,,,
1290,_TACAsstDepreStdHist,고정자산상각정보(IFRS),15,IsEvalUseVal,사용가치평가가능여부,nchar(1),15,18,,,,
1291,_TACAsstDepreStdHist,고정자산상각정보(IFRS),16,LastUserSeq,최종수정자,int(10),16,18,,,,
1292,_TACAsstDepreStdHist,고정자산상각정보(IFRS),17,LastDateTime,최종수정일,datetime(8),17,18,,,,
1293,_TACAsstDepreStdHist,고정자산상각정보(IFRS),18,IsRemUseMonDepre,잔존내용년수기준정액상각,nchar(1),18,18,,,,
1309,_TACAsstDispo,고정자산처분,1,CompanySeq,법인내부코드,int(10),1,27,CompanySeq,1,,1
1310,_TACAsstDispo,고정자산처분,2,SMAccStd,회계기준구분,int(10),2,27,SMAccStd,2,,1
1311,_TACAsstDispo,고정자산처분,3,AsstSeq,고정자산코드,int(10),3,27,AsstSeq,3,,1
1312,_TACAsstDispo,고정자산처분,4,DispoSerl,자산처분일련번호,int(10),4,27,DispoSerl,4,,1
1313,_TACAsstDispo,고정자산처분,5,DispoDate,처분일,nchar(8),5,27,,,,
1314,_TACAsstDispo,고정자산처분,6,SellAmt,매각액,decimal(19),6,27,,,,
1315,_TACAsstDispo,고정자산처분,7,CustSeq,처분처,int(10),7,27,,,,
1316,_TACAsstDispo,고정자산처분,8,IsSumCurrDepreAmt,당월상각액포함여부,nchar(1),8,27,,,,
1317,_TACAsstDispo,고정자산처분,9,Remark,비고,nvarchar(500),9,27,,,,
1318,_TACAsstDispo,고정자산처분,10,SlipSeq,전표내부코드,int(10),10,27,,,,
1319,_TACAsstDispo,고정자산처분,11,SMVATKind,부가세종류,int(10),11,27,,,,
1320,_TACAsstDispo,고정자산처분,12,SupplyAmt,공급가액,decimal(19),12,27,,,,
1321,_TACAsstDispo,고정자산처분,13,VATAmt,부가세액,decimal(19),13,27,,,,
1322,_TACAsstDispo,고정자산처분,14,AccVatSeq,부가세계정코드,int(10),14,27,,,,
1323,_TACAsstDispo,고정자산처분,15,EvidSeq,증빙내부코드,int(10),15,27,,,,
1324,_TACAsstDispo,고정자산처분,16,SMNDVATKind,불공제구분,int(10),16,27,,,,
1325,_TACAsstDispo,고정자산처분,17,SMNDVATAmt,불공제세,decimal(19),17,27,,,,
1326,_TACAsstDispo,고정자산처분,18,LossAccSeq,손실계정코드,int(10),18,27,,,,
1327,_TACAsstDispo,고정자산처분,19,ProfitAccSeq,이익계정코드,int(10),19,27,,,,
1328,_TACAsstDispo,고정자산처분,20,IsBatch,IsBatch,nchar(1),20,27,,,,
1329,_TACAsstDispo,고정자산처분,21,LastUserSeq,작업자,int(10),21,27,,,,
1330,_TACAsstDispo,고정자산처분,22,LastDateTime,작업일,datetime(8),22,27,,,,
1331,_TACAsstDispo,고정자산처분,23,AntiAccSeq,상대계정,int(10),23,27,,,,
1332,_TACAsstDispo,고정자산처분,24,BankAccSeq,계좌번호,int(10),24,27,,,,
1333,_TACAsstDispo,고정자산처분,25,DeptSeq,부서내부코드,int(10),25,27,,,,
1334,_TACAsstDispo,고정자산처분,26,CCtrSeq,활동센터내부코드,int(10),26,27,,,,
1335,_TACAsstDispo,고정자산처분,27,DispoCnt,처분수량,decimal(19),27,27,,,,
1294,_TACAsstImpairmentLossAsst,자산손상평가 (IFRS),1,CompanySeq,법인내부코드,int(10),1,15,CompanySeq,1,,1
1295,_TACAsstImpairmentLossAsst,자산손상평가 (IFRS),2,AccYM,회계연월,nchar(6),2,15,AccYM,2,,1
1296,_TACAsstImpairmentLossAsst,자산손상평가 (IFRS),3,AsstSeq,고정자산코드,int(10),3,15,AsstSeq,3,,1
1297,_TACAsstImpairmentLossAsst,자산손상평가 (IFRS),4,FairValueAmt,순공정가치,decimal(19),4,15,,,,
1298,_TACAsstImpairmentLossAsst,자산손상평가 (IFRS),5,UseValueAmt,사용가치,decimal(19),5,15,,,,
1299,_TACAsstImpairmentLossAsst,자산손상평가 (IFRS),6,RecoverableAmt,회수가능액,decimal(19),6,15,,,,
1300,_TACAsstImpairmentLossAsst,자산손상평가 (IFRS),7,ImpairmentLossAmt,손상차손,decimal(19),7,15,,,,
1301,_TACAsstImpairmentLossAsst,자산손상평가 (IFRS),8,AdjSurplusAmt,기타포괄손익(재평가잉여금) 조정,decimal(19),8,15,,,,
1302,_TACAsstImpairmentLossAsst,자산손상평가 (IFRS),9,AdjGainLossAmt,당기손익조정,decimal(19),9,15,,,,
1303,_TACAsstImpairmentLossAsst,자산손상평가 (IFRS),10,UMImpairLossReason,손상사유,int(10),10,15,,,,
1304,_TACAsstImpairmentLossAsst,자산손상평가 (IFRS),11,Remark,비고,nvarchar(200),11,15,,,,
1305,_TACAsstImpairmentLossAsst,자산손상평가 (IFRS),12,IsProc,처리여부,nchar(1),12,15,,,,
1306,_TACAsstImpairmentLossAsst,자산손상평가 (IFRS),13,SlipSeq,전표내부코드,int(10),13,15,,,,
1307,_TACAsstImpairmentLossAsst,자산손상평가 (IFRS),14,LastUserSeq,작업자,int(10),14,15,,,,
1308,_TACAsstImpairmentLossAsst,자산손상평가 (IFRS),15,LastDateTime,작업일시,datetime(8),15,15,,,,
353,_TACDCashItem,현금흐름표과목(직접법),1,CompanySeq,법인내부코드,int(10),1,9,CompanySeq,1,,1
354,_TACDCashItem,현금흐름표과목(직접법),2,CashItemSeq,현금흐름표과목코드,int(10),2,9,CashItemSeq,2,,1
355,_TACDCashItem,현금흐름표과목(직접법),3,CashItemNo,현금흐름표구조코드,nchar(5),3,9,,,,
356,_TACDCashItem,현금흐름표과목(직접법),4,CashItemName,현금흐름과목,nvarchar(100),4,9,,,,
357,_TACDCashItem,현금흐름표과목(직접법),5,SMCalcKind,계산구분,int(10),5,9,,,,
358,_TACDCashItem,현금흐름표과목(직접법),6,Formula,산식,nvarchar(100),6,9,,,,
359,_TACDCashItem,현금흐름표과목(직접법),7,Remark,비고,nvarchar(200),7,9,,,,
360,_TACDCashItem,현금흐름표과목(직접법),8,LastUserSeq,작업자,int(10),8,9,,,,
361,_TACDCashItem,현금흐름표과목(직접법),9,LastDateTime,작업일시,datetime(8),9,9,,,,
91,_TACFundExec,자금수지실적(자금달력),1,CompanySeq,법인내부코드,int(10),1,9,CompanySeq,1,,1
92,_TACFundExec,자금수지실적(자금달력),2,AccUnit,회계단위,int(10),2,9,AccUnit,2,,1
93,_TACFundExec,자금수지실적(자금달력),3,FundDate,자금수지일,nchar(8),3,9,FundDate,3,,1
94,_TACFundExec,자금수지실적(자금달력),4,Serl,일련번호,int(10),4,9,Serl,4,,1
95,_TACFundExec,자금수지실적(자금달력),5,FundItemSeq,자금수지항목코드,int(10),5,9,,,,
96,_TACFundExec,자금수지실적(자금달력),6,RevExecAmt,실제입금액,decimal(19),6,9,,,,
97,_TACFundExec,자금수지실적(자금달력),7,PayExecAmt,실제출금액,decimal(19),7,9,,,,
98,_TACFundExec,자금수지실적(자금달력),8,Remark,비고,nvarchar(100),8,9,,,,
99,_TACFundExec,자금수지실적(자금달력),9,SlipSeq,전표내부코드,int(10),9,9,,,,
80,_TACFundPlan,자금수지계획(자금달력),1,CompanySeq,법인내부코드,int(10),1,11,,,,
81,_TACFundPlan,자금수지계획(자금달력),2,AccUnit,회계단위,int(10),2,11,AccUnit,2,,1
82,_TACFundPlan,자금수지계획(자금달력),3,FundDate,자금수지일,nchar(8),3,11,FundDate,3,,1
83,_TACFundPlan,자금수지계획(자금달력),4,Serl,일련번호,int(10),4,11,Serl,4,,1
84,_TACFundPlan,자금수지계획(자금달력),5,FundItemSeq,자금수지항목코드,int(10),5,11,,,,
85,_TACFundPlan,자금수지계획(자금달력),6,RevPlanAmt,예상입금액,decimal(19),6,11,,,,
86,_TACFundPlan,자금수지계획(자금달력),7,PayPlanAmt,예상출금액,decimal(19),7,11,,,,
87,_TACFundPlan,자금수지계획(자금달력),8,Remark,비고,nvarchar(100),8,11,,,,
88,_TACFundPlan,자금수지계획(자금달력),9,LastUserSeq,작업자,int(10),9,11,,,,
89,_TACFundPlan,자금수지계획(자금달력),10,LastDateTime,작업일시,datetime(8),10,11,,,,
90,_TACFundPlan,자금수지계획(자금달력),11,CurrSeq,통화,int(10),11,11,,,,
403,_TACLoan,차입입력,1,CompanySeq,법인내부코드,int(10),1,23,CompanySeq,1,,1
404,_TACLoan,차입입력,2,LoanSeq,차입내부코드,int(10),2,23,LoanSeq,2,,1
405,_TACLoan,차입입력,3,LoanNo,차입번호,nvarchar(20),3,23,,,,
406,_TACLoan,차입입력,4,LoanName,차입명,nvarchar(40),4,23,,,,
407,_TACLoan,차입입력,5,BizUnit,사업부문,int(10),5,23,,,,
408,_TACLoan,차입입력,6,SMKoOrFor,국내외구분,int(10),6,23,,,,
409,_TACLoan,차입입력,7,LoanDate,차입일,nchar(8),7,23,,,,
410,_TACLoan,차입입력,8,SMLoanType,차입구분,int(10),8,23,,,,
411,_TACLoan,차입입력,9,AccSeq,차입계정,int(10),9,23,,,,
412,_TACLoan,차입입력,10,CurrAccSeq,유동성차입계정,int(10),10,23,,,,
413,_TACLoan,차입입력,11,UMLoanKind,차입종류코드,int(10),11,23,,,,
414,_TACLoan,차입입력,12,BankSeq,차입금융기관지점코드,int(10),12,23,,,,
415,_TACLoan,차입입력,13,BankAccSeq,계좌코드,int(10),13,23,,,,
416,_TACLoan,차입입력,14,Amt,원화차입액,decimal(19),14,23,,,,
417,_TACLoan,차입입력,15,ForAmt,외화차입액,decimal(19),15,23,,,,
418,_TACLoan,차입입력,16,CurrSeq,통화내부코드,int(10),16,23,,,,
419,_TACLoan,차입입력,17,ExRateDate,환율일,nchar(8),17,23,,,,
420,_TACLoan,차입입력,18,ExRate,환율,decimal(19),18,23,,,,
421,_TACLoan,차입입력,19,IsBiz,사업용차입여부,nchar(1),19,23,,,,
422,_TACLoan,차입입력,20,Remark,비고,nvarchar(100),20,23,,,,
423,_TACLoan,차입입력,21,SlipSeq,차입전표코드,int(10),21,23,,,,
424,_TACLoan,차입입력,22,LastUserSeq,작업자,int(10),22,23,,,,
425,_TACLoan,차입입력,23,LastDateTime,작업일시,datetime(8),23,23,,,,
442,_TACLoanInterestOpt,차입이자조건,1,CompanySeq,법인내부코드,int(10),1,17,CompanySeq,1,,1
443,_TACLoanInterestOpt,차입이자조건,2,LoanSeq,차입내부코드,int(10),2,17,LoanSeq,2,,1
444,_TACLoanInterestOpt,차입이자조건,3,Serl,일련번호,int(10),3,17,Serl,3,,1
445,_TACLoanInterestOpt,차입이자조건,4,ChgDate,변경일,nchar(8),4,17,,,,
446,_TACLoanInterestOpt,차입이자조건,5,SMCalcMethod,이자계산방법,int(10),5,17,,,,
447,_TACLoanInterestOpt,차입이자조건,6,SMInterestPayWay,이자납입방법,int(10),6,17,,,,
448,_TACLoanInterestOpt,차입이자조건,7,InterestTerm,이자납입주기,int(10),7,17,,,,
449,_TACLoanInterestOpt,차입이자조건,8,PayCnt,이자지급횟수,int(10),8,17,,,,
450,_TACLoanInterestOpt,차입이자조건,9,InterestRate,이자율,decimal(19),9,17,,,,
451,_TACLoanInterestOpt,차입이자조건,10,SMRateType,금리기준,int(10),10,17,,,,
452,_TACLoanInterestOpt,차입이자조건,11,Spread,가산금리,decimal(19),11,17,,,,
453,_TACLoanInterestOpt,차입이자조건,12,FrDate,이자기간시작,nchar(8),12,17,,,,
454,_TACLoanInterestOpt,차입이자조건,13,ToDate,이자기간끝,nchar(8),13,17,,,,
455,_TACLoanInterestOpt,차입이자조건,14,DayQty,일수,int(10),14,17,,,,
456,_TACLoanInterestOpt,차입이자조건,15,LastUserSeq,작업자,int(10),15,17,,,,
457,_TACLoanInterestOpt,차입이자조건,16,LastDateTime,작업일시,datetime(8),16,17,,,,
458,_TACLoanInterestOpt,차입이자조건,17,IntDayCountType,차입금이자일수계산방법,int(10),17,17,,,,
459,_TACLoanPlan,차입상환계획,1,CompanySeq,법인내부코드,int(10),1,21,CompanySeq,1,,1
460,_TACLoanPlan,차입상환계획,2,LoanSeq,차입내부코드,int(10),2,21,LoanSeq,2,,1
461,_TACLoanPlan,차입상환계획,3,Serl,일련번호,int(10),3,21,Serl,3,,1
462,_TACLoanPlan,차입상환계획,4,PayDate,지급일자,nchar(8),4,21,,,,
463,_TACLoanPlan,차입상환계획,5,SMInterestOrCapital,이자원금구분,int(10),5,21,,,,
464,_TACLoanPlan,차입상환계획,6,PayCnt,지급횟수,int(10),6,21,,,,
465,_TACLoanPlan,차입상환계획,7,FrDate,지급기간시작,nchar(8),7,21,,,,
466,_TACLoanPlan,차입상환계획,8,ToDate,지급기간끝,nchar(8),8,21,,,,
467,_TACLoanPlan,차입상환계획,9,BankSeq,지급금융기관지점코드,int(10),9,21,,,,
468,_TACLoanPlan,차입상환계획,10,InterestRate,이자율,decimal(19),10,21,,,,
469,_TACLoanPlan,차입상환계획,11,PayAmt,상환액,decimal(19),11,21,,,,
470,_TACLoanPlan,차입상환계획,12,PayForAmt,외화상환액,decimal(19),12,21,,,,
471,_TACLoanPlan,차입상환계획,13,PayIntAmt,이자지급액,decimal(19),13,21,,,,
472,_TACLoanPlan,차입상환계획,14,PayForIntAmt,외화이자지급액,decimal(19),14,21,,,,
473,_TACLoanPlan,차입상환계획,15,CurrSeq,통화내부코드,int(10),15,21,,,,
474,_TACLoanPlan,차입상환계획,16,ExRate,환율,decimal(19),16,21,,,,
475,_TACLoanPlan,차입상환계획,17,IsPay,실지급여부,nchar(1),17,21,,,,
476,_TACLoanPlan,차입상환계획,18,IsPayInt,이자실지급여부,nchar(1),18,21,,,,
477,_TACLoanPlan,차입상환계획,19,RepaySlipSeq,원금지급전표코드,int(10),19,21,,,,
478,_TACLoanPlan,차입상환계획,20,LastUserSeq,작업자,int(10),20,21,,,,
479,_TACLoanPlan,차입상환계획,21,LastDateTime,작업일시,datetime(8),21,21,,,,
426,_TACLoanRepayOpt,차입상환조건,1,CompanySeq,법인내부코드,int(10),1,16,CompanySeq,1,,1
427,_TACLoanRepayOpt,차입상환조건,2,LoanSeq,차입내부코드,int(10),2,16,LoanSeq,2,,1
428,_TACLoanRepayOpt,차입상환조건,3,Serl,일련번호,int(10),3,16,Serl,3,,1
429,_TACLoanRepayOpt,차입상환조건,4,ChgDate,변경일,nchar(8),4,16,,,,
430,_TACLoanRepayOpt,차입상환조건,5,FrDate,상환개시일,nchar(8),5,16,,,,
431,_TACLoanRepayOpt,차입상환조건,6,ToDate,최종상환일,nchar(8),6,16,,,,
432,_TACLoanRepayOpt,차입상환조건,7,SMRepayType,상환유형,int(10),7,16,,,,
433,_TACLoanRepayOpt,차입상환조건,8,RepayTerm,상환주기,int(10),8,16,,,,
434,_TACLoanRepayOpt,차입상환조건,9,RepayCnt,상환횟수,int(10),9,16,,,,
435,_TACLoanRepayOpt,차입상환조건,10,DeferYear,상환시거치년수,int(10),10,16,,,,
436,_TACLoanRepayOpt,차입상환조건,11,DeferMonth,상환거치개월,int(10),11,16,,,,
437,_TACLoanRepayOpt,차입상환조건,12,OddTime,짜투리금액조정회,int(10),12,16,,,,
438,_TACLoanRepayOpt,차입상환조건,13,OddUnitAmt,짜투리금액단위설정,decimal(19),13,16,,,,
439,_TACLoanRepayOpt,차입상환조건,14,Remark,비고,nvarchar(100),14,16,,,,
440,_TACLoanRepayOpt,차입상환조건,15,LastUserSeq,작업자,int(10),15,16,,,,
441,_TACLoanRepayOpt,차입상환조건,16,LastDateTime,작업일시,datetime(8),16,16,,,,
1,_TACSlip,전표,1,CompanySeq,법인내부코드,int(10),1,27,,,,
2,_TACSlip,전표,2,SlipMstSeq,전표마스터내부코드,int(10),2,27,,,,
3,_TACSlip,전표,3,SlipMstID,전표마스터번호,nvarchar(30),3,27,,,,
4,_TACSlip,전표,4,AccUnit,회계단위,int(10),4,27,,,,
5,_TACSlip,전표,5,SlipUnit,전표관리단위코드,int(10),5,27,,,,
6,_TACSlip,전표,6,AccDate,회계일,nchar(8),6,27,,,,
7,_TACSlip,전표,7,SlipNo,기표일련번호,nchar(4),7,27,,,,
8,_TACSlip,전표,8,SlipKind,전표분개유형내부코드,int(10),8,27,,,,
9,_TACSlip,전표,9,RegEmpSeq,기표자,int(10),9,27,,,,
10,_TACSlip,전표,10,RegDeptSeq,기표부서,int(10),10,27,,,,
11,_TACSlip,전표,11,Remark,비고,nvarchar(2000),11,27,,,,
12,_TACSlip,전표,12,SMCurrStatus,전표상태,int(10),12,27,,,,
13,_TACSlip,전표,13,AptDate,접수일,nchar(8),13,27,,,,
14,_TACSlip,전표,14,AptEmpSeq,접수자,int(10),14,27,,,,
15,_TACSlip,전표,15,AptDeptSeq,접수부서,int(10),15,27,,,,
16,_TACSlip,전표,16,AptRemark,접수비고,nvarchar(100),16,27,,,,
17,_TACSlip,전표,17,SMCheckStatus,정정상태,int(10),17,27,,,,
18,_TACSlip,전표,18,CheckOrigin,원천번호,int(10),18,27,,,,
19,_TACSlip,전표,19,IsSet,승인여부,nchar(1),19,27,,,,
20,_TACSlip,전표,20,SetSlipNo,승인일련번호,nvarchar(20),20,27,,,,
21,_TACSlip,전표,21,SetEmpSeq,승인자,int(10),21,27,,,,
22,_TACSlip,전표,22,SetDeptSeq,승인부서,int(10),22,27,,,,
23,_TACSlip,전표,23,LastUserSeq,작업자,int(10),23,27,,,,
24,_TACSlip,전표,24,LastDateTime,작업일시,datetime(8),24,27,,,,
25,_TACSlip,전표,25,RegDateTime,기표일시,datetime(8),25,27,,,,
26,_TACSlip,전표,26,RegAccDate,기표일,nchar(8),26,27,,,,
